trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.99}",25,0,-132.5872729733029,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.9801}",20,0,-145.52033269731714,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.9702989999999999}",30,0,-202.51540606554553,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 4}",0
4,False,"{'a': 0.1, 'e': 0.96059601}",30,0,-180.4297074529814,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.1, 'e': 0.9509900498999999}",25,0,-131.52613502113175,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.9414801494009999}",25,0,-126.98318285149172,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.9320653479069899}",30,5,-34.78368403364348,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.1, 'e': 0.92274469442792}",20,0,-72.36847058412752,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.9135172474836407}",35,0,-154.4787826800764,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.9043820750088043}",25,0,-123.89574563005182,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.1, 'e': 0.8953382542587163}",20,5,-145.13053415138245,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 3}",1
12,False,"{'a': 0.1, 'e': 0.8863848717161291}",20,0,-55.82638104365463,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.8775210229989678}",25,0,-174.61678558341418,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.8687458127689781}",20,0,-124.09928569117196,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",1
15,False,"{'a': 0.1, 'e': 0.8600583546412883}",25,8,-41.82471482282134,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.1, 'e': 0.8514577710948754}",25,0,-213.89764214229476,"{0: 11, 1: 7, 2: 3, 3: 0, 4: 4}",0
17,False,"{'a': 0.1, 'e': 0.8429431933839266}",20,0,-100.51264370506208,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.1, 'e': 0.8345137614500874}",20,1,-73.35127914904695,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 1}",1
