trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.1468992417963,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.78083844804993,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.143162133499015,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.77571233585309,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.31251638694786,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.68340669059252,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.76748106258376,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.66921655338378,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.14509997180073,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-6.637928134523472,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.69024762139748,"{0: 9, 1: 5, 2: 9, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.92647990531296,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,5,-49.33802797955438,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-154.14389418220458,"{0: 23, 1: 4, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.16860893277493,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-91.13594359295078,"{0: 26, 1: 3, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.30536419347771,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.51189616746606,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.27883947253704,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-219.60428146376162,"{0: 9, 1: 1, 2: 4, 3: 3, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-96.61992114631683,"{0: 17, 1: 4, 2: 9, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-171.18082175020305,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-168.7527301321975,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.71693320251919,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-219.66678435416534,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-73.63631309915142,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-223.1755526977988,"{0: 21, 1: 4, 2: 6, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-97.90072967173106,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.77351510960465,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.31063449290511,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
